Country
United States
India
Nigeria
Kenya
Indonesia
Guatemala
Philippines
Brazil
Singapore
South Africa
Australia
Bangladesh
Canada
Mexico
Pakistan
Ghana
Colombia
Argentina
Uganda
United Kingdom
France
Malaysia
Peru
Venezuela
Japan
Chile
Ecuador
Thailand
Vietnam
Zambia
Côte d’Ivoire
Germany
Congo - Kinshasa
New Zealand
Honduras
South Korea
Türkiye
Spain
Dominican Republic
Sweden
Netherlands
Egypt
Costa Rica
Afghanistan
Zimbabwe
Bolivia
El Salvador
Tanzania
Hong Kong
Cameroon
Ethiopia
Panama
Malawi
Ireland
Nicaragua
Puerto Rico
Nepal
United Arab Emirates
Jamaica
Papua New Guinea
Russia
Ukraine
Mozambique
Saudi Arabia
Switzerland
Trinidad & Tobago
Belgium
Taiwan
Namibia
Poland
Burkina Faso
Paraguay
Eswatini
Kazakhstan
Togo
Benin
Italy
Botswana
Norway
Liberia
Madagascar
Sri Lanka
Uruguay
Belarus
Fiji
Sierra Leone
Israel
Rwanda
Jordan
Bahamas
Uzbekistan
Congo - Brazzaville
Morocco
Iraq
Senegal
Lebanon
Qatar
Bulgaria
(not set)
Finland
Mauritius
Guyana
Greece
Romania
Myanmar (Burma)
Cuba
Moldova
South Sudan
Hungary
Réunion
Lithuania
Barbados
Algeria
Angola
Austria
Lesotho
Chad
Haiti
Belize
Kuwait
Laos
Portugal
China
Gabon
Albania
Czechia
Bahrain
Cambodia
Armenia
Georgia
Latvia
Serbia
Azerbaijan
Guinea
Kyrgyzstan
Solomon Islands
Martinique
Guadeloupe
Syria
Denmark
Mali
Slovakia
Mongolia
Vanuatu
Tunisia
Turks & Caicos Islands
Burundi
Central African Republic
Macao
Oman
St. Vincent & Grenadines
North Macedonia
Antigua & Barbuda
Tonga
Estonia
Seychelles
St. Lucia
Sudan
Cayman Islands
Niger
Gambia
Tajikistan
Croatia
Cyprus
Suriname
Montenegro
Luxembourg
Grenada
New Caledonia
Samoa
Timor-Leste
Bermuda
Bosnia & Herzegovina
Curaçao
Palestine
Malta
American Samoa
French Polynesia
Iran
Jersey
Kiribati
Mauritania
Somalia
U.S. Virgin Islands
Brunei
Equatorial Guinea
Faroe Islands
Libya
Micronesia
Turkmenistan
Bhutan
Cape Verde
Greenland
Guam
Sint Maarten
Slovenia
Aruba
British Virgin Islands
French Guiana
Guernsey
Guinea-Bissau
Kosovo
Monaco
St. Kitts & Nevis
St. Martin
Caribbean Netherlands
Djibouti
Gibraltar
Iceland
Isle of Man
Maldives
Mayotte
Palau
Yemen
Cook Islands
Dominica
Marshall Islands
Nauru
St. Barthélemy
Tuvalu
Wallis & Futuna

