profile_cards,requests,cards,first_request,latest_request,latency_p50_ms,latency_p95_ms
0,811,4866,2026-09-14T00:16:06.571Z,2026-09-15T01:29:58.370Z,668,1166.5
6,13,78,2026-09-14T00:25:44.663Z,2026-09-14T05:46:02.718Z,438,806.1999999999999
