execution_mode,requests,sessions,requests_with_items,items,rendered,impressions,impressed_requests,impressed_sessions,selections,selections_after_impression,selecting_sessions,claimed,starts,classified,active_qualified,legacy_qualified,qualified_sessions,active_ms
semantic_contextual,62871,52282,49885,226451,83765,9485,2311,2046,267,259,265,252,136,258,70,92,70,10578651
hybrid_personalized,5382,1043,5382,31978,30031,2198,509,282,123,117,88,116,72,117,35,49,31,5490875
semantic_fallback,896,466,258,1267,771,62,17,16,4,4,4,4,3,4,1,3,1,225268
,824,799,824,4944,4518,196,49,39,9,7,6,7,4,9,4,3,4,1066191
