status,started_at,completed_at,roots_deleted,oldest_expired_at_after,reason_code
succeeded,2026-09-14T10:30:00.400Z,2026-09-14T10:30:00.399Z,0,,
succeeded,2026-09-13T10:30:00.461Z,2026-09-13T10:30:00.460Z,0,,
