language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason
"Malagasy, Antesaka",malagasy-antesaka,mg,0,0,Missing published card translation
"Malagasy, Northern Betsimisaraka",malagasy-northern-betsimisaraka,mg,0,0,Missing published card translation
"Malagasy, Southern Betsimisaraka",malagasy-southern-betsimisaraka,mg,0,0,Missing published card translation
"Malagasy, Tanosy",malagasy-tanosy,mg,0,0,Missing published card translation
Malay,malay,ms,0,0,Missing published card translation
"Malay, Ambonese",malay-ambonese,ms,0,0,Missing published card translation
"Malay, Papuan",malay-papuan,ms,0,0,Missing published card translation
"Malay, Pattani",malay-pattani,ms,0,0,Missing published card translation
Malayalam,malayalam,ml,0,0,Missing published card translation
Maltese,maltese,mt,0,0,Missing published card translation
Mandarin (Taiwan),mandarin-taiwan,zh-Hant,0,0,Missing published card translation
"Mandarin, China",mandarin-china,zh,0,0,Missing published card translation
Manjaku,manjaku,mfv,0,0,Missing published card translation
Mankanya,mankanya,knf,0,0,Missing published card translation
Maori,maori,mi,0,0,Missing published card translation
Marathi,marathi,mr,0,0,Missing published card translation
Marshallese,marshallese,mh,0,0,Missing published card translation
Moksha,moksha,mdf,0,0,Missing published card translation
Nauruan,nauruan,na,0,0,Missing published card translation
"Ndebele, Northern",ndebele-northern,nd,0,0,Missing published card translation
"Ndebele, Southern",ndebele-southern,nr,0,0,Missing published card translation
Nepali,nepali,ne,0,0,Missing published card translation
Nethakani,nethakani,te,0,0,Missing published card translation
Noon,noon,snf,0,0,Missing published card translation
"Norwegian, Bokmal",norwegian-bokmal,no,0,0,Missing published card translation
Ogan,ogan,ms,0,0,Missing published card translation
Oniyan,oniyan,bsc,0,0,Missing published card translation
Osetin,osetin,os,0,0,Missing published card translation
Palauan,palauan,pau,0,0,Missing published card translation
Pangasinan,pangasinan,pag,0,0,Missing published card translation
Papiamentu,papiamentu,pap,0,0,Missing published card translation
Pasemah,pasemah,ms,0,0,Missing published card translation
Polish,polish,pl,0,0,Missing published card translation
Punjabi,punjabi,pa,0,0,Missing published card translation
"Quiche, Central",quiche-central,quc,0,0,Missing published card translation
"Quiche, Joyabaj",quiche-joyabaj,quc,0,0,Missing published card translation
"Quiche, West Central",quiche-west-central,quc,0,0,Missing published card translation
Romanian,romanian,ro,0,0,Missing published card translation
Rufumbira,rufumbira,rw,0,0,Missing published card translation
Saafi-Saafi,saafi-saafi,sav,0,0,Missing published card translation
Samarkand-Tajik,samarkand-tajik,tg,0,0,Missing published card translation
Samoan,samoan,sm,0,0,Missing published card translation
Sango,sango,sg,0,0,Missing published card translation
"Santali, India",santali-india,sat,0,0,Missing published card translation
"Santhali, Nepal",santhali-nepal,sat,0,0,Missing published card translation
Serawai,serawai,ms,0,0,Missing published card translation
Serbian,serbian,sr,0,0,Missing published card translation
Serere-Sine,serere-sine,srr,0,0,Missing published card translation
Shona,shona,sn,0,0,Missing published card translation
Sindhi,sindhi,sd,0,0,Missing published card translation
Sinhala,sinhala,si,0,0,Missing published card translation
Siswati,siswati,ss,0,0,Missing published card translation
Slovak,slovak,sk,0,0,Missing published card translation
Slovenian,slovenian,sl,0,0,Missing published card translation
Somali,somali,so,0,0,Missing published card translation
"Sotho, Northern",sotho-northern,nso,0,0,Missing published card translation
"Sotho, Southern",sotho-southern,st,0,0,Missing published card translation
"Swahili, Congo",swahili-congo,sw,0,0,Missing published card translation
"Swahili, Kenya",swahili-kenya,sw,0,0,Missing published card translation
"Swahili, Tanzania",swahili-tanzania,sw,0,0,Missing published card translation
Swedish,swedish,sv,0,0,Missing published card translation
Tahitian,tahitian,ty,0,0,Missing published card translation
Tajik,tajik,tg,0,0,Missing published card translation
"Tamazight, Central Atlas",tamazight-central-atlas,tzm,0,0,Missing published card translation
Tamil,tamil,ta,0,0,Missing published card translation
Tatar,tatar,tt,0,0,Missing published card translation
Tausug,tausug,tsg,0,0,Missing published card translation
Telugu,telugu,te,0,0,Missing published card translation
Tetun Belu,tetun-belu,tet,0,0,Missing published card translation
Tlicho,tlicho,dgr,0,0,Missing published card translation
Tok Pisin,tok-pisin,tpi,0,0,Missing published card translation
Tongan,tongan,to,0,0,Missing published card translation
Tshiluba,tshiluba,lua,0,0,Missing published card translation
Tsonga,tsonga,ts,0,0,Missing published card translation
Tswana,tswana,tn,0,0,Missing published card translation
Turkmen,turkmen,tk,0,0,Missing published card translation
Tuvin,tuvin,tyv,0,0,Missing published card translation
Udmurt,udmurt,udm,0,0,Missing published card translation
Ukrainian,ukrainian,uk,0,0,Missing published card translation
