audioLanguageSlug,coreLanguageId,poolKey,themeUnique,sharedWithStart,additionalBeyondStart,unionWithStart
adzera,96809,love-and-belonging,12,12,0,35
adzera,96809,forgiveness-and-new-beginnings,7,7,0,35
adzera,96809,exploring-jesus,21,21,0,35
afar,4468,meaning-and-purpose,23,23,0,56
afar,4468,hope-and-perseverance,26,26,0,56
afar,4468,love-and-belonging,20,19,1,57
afar,4468,forgiveness-and-new-beginnings,10,9,1,57
afar,4468,exploring-jesus,37,37,0,56
afrikaans,1444,meaning-and-purpose,44,44,0,119
afrikaans,1444,hope-and-perseverance,48,47,1,120
afrikaans,1444,love-and-belonging,52,50,2,121
afrikaans,1444,forgiveness-and-new-beginnings,32,31,1,120
afrikaans,1444,exploring-jesus,60,60,0,119
agabag,143624,meaning-and-purpose,18,18,0,35
agabag,143624,hope-and-perseverance,16,16,0,35
agabag,143624,love-and-belonging,12,12,0,35
agabag,143624,forgiveness-and-new-beginnings,7,7,0,35
agabag,143624,exploring-jesus,21,21,0,35
agarabi,96835,meaning-and-purpose,18,18,0,35
agarabi,96835,hope-and-perseverance,16,16,0,35
agarabi,96835,love-and-belonging,12,12,0,35
agarabi,96835,forgiveness-and-new-beginnings,7,7,0,35
agarabi,96835,exploring-jesus,21,21,0,35
agatu,9290,meaning-and-purpose,18,18,0,35
agatu,9290,hope-and-perseverance,16,16,0,35
agatu,9290,love-and-belonging,12,12,0,35
agatu,9290,forgiveness-and-new-beginnings,7,7,0,35
agatu,9290,exploring-jesus,21,21,0,35
aghem,139321,meaning-and-purpose,18,18,0,35
aghem,139321,hope-and-perseverance,16,16,0,35
aghem,139321,love-and-belonging,12,12,0,35
aghem,139321,forgiveness-and-new-beginnings,7,7,0,35
aghem,139321,exploring-jesus,21,21,0,35
aguna,139205,meaning-and-purpose,17,17,0,32
aguna,139205,hope-and-perseverance,14,14,0,32
aguna,139205,love-and-belonging,12,12,0,32
aguna,139205,forgiveness-and-new-beginnings,7,7,0,32
aguna,139205,exploring-jesus,18,18,0,32
agusan-surigao-manobo,184668,meaning-and-purpose,18,18,0,35
agusan-surigao-manobo,184668,hope-and-perseverance,16,16,0,35
agusan-surigao-manobo,184668,love-and-belonging,12,12,0,35
agusan-surigao-manobo,184668,forgiveness-and-new-beginnings,7,7,0,35
agusan-surigao-manobo,184668,exploring-jesus,21,21,0,35
ahanta,5170,meaning-and-purpose,18,18,0,35
ahanta,5170,hope-and-perseverance,16,16,0,35
ahanta,5170,love-and-belonging,12,12,0,35
ahanta,5170,forgiveness-and-new-beginnings,7,7,0,35
ahanta,5170,exploring-jesus,21,21,0,35
ahirani,6330,meaning-and-purpose,18,18,0,35
ahirani,6330,hope-and-perseverance,16,16,0,35
ahirani,6330,love-and-belonging,12,12,0,35
ahirani,6330,forgiveness-and-new-beginnings,7,7,0,35
ahirani,6330,exploring-jesus,21,21,0,35
aikana,184550,meaning-and-purpose,18,18,0,35
aikana,184550,hope-and-perseverance,16,16,0,35
aikana,184550,love-and-belonging,12,12,0,35
aikana,184550,forgiveness-and-new-beginnings,7,7,0,35
aikana,184550,exploring-jesus,21,21,0,35
aja-gbe,1280,meaning-and-purpose,23,23,0,56
aja-gbe,1280,hope-and-perseverance,26,26,0,56
aja-gbe,1280,love-and-belonging,20,19,1,57
aja-gbe,1280,forgiveness-and-new-beginnings,10,9,1,57
aja-gbe,1280,exploring-jesus,37,37,0,56
ajiya,141189,meaning-and-purpose,18,18,0,35
ajiya,141189,hope-and-perseverance,16,16,0,35
ajiya,141189,love-and-belonging,12,12,0,35
ajiya,141189,forgiveness-and-new-beginnings,7,7,0,35
