coreVideoId,coreLabel,primaryTitle,publishedLanguageIds,hlsLanguageIds,variantCount,publishedHlsVariantCount,durationMinSeconds,durationMedianSeconds,durationMaxSeconds
11_ReadBible1910,episode,Poetic Metaphor (Episode 10),1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,24,24,298,327,431
11_ReadBible1911,episode,The Book of Psalms (Episode 11),1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,24,24,323,345,461
11_ReadBible1912,episode,The Prophets (Episode 12),1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,24,24,314,346,464
11_ReadBible1913,episode,Biblical Law (Episode 13),1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 22658 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1107 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 22658 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,25,25,366,404,536
11_ReadBible1914,episode,The Books of Solomon (Episode 14),1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,23,23,314,342,412
11_ReadBible1915,episode,The Gospel (Episode 15),1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 22658 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 22658 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,24,24,309,361,406
11_ReadBible1916,episode,The Parables of Jesus (Episode 16),1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,23,23,307,339,425
11_ReadBible1917,episode,New Testament Letters: Historical Context (Episode 17),1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,23,23,279,321,390
11_ReadBible1918,episode,New Testament Letters: Literary Context (Episode 18),1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,23,23,301,344,412
11_ReadBible1919,episode,Apocalyptic Literature (Episode 19),1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,1106 1109 12876 13169 13172 139081 16639 176243 19985 20601 21028 3804 3934 4451 496 529 5546 584 5848 5871 6464 7083 7698,23,23,357,421,501
