videoId,videoCoreId,keywordId,keywordCoreId,value,languageId,keywordDeletedAt
cmp78s2370fa4qm01alwjtimg,7_0-nur05,61f47599-b7d6-47b1-af44-75ac50d89822,7450c506-32fb-49d1-97b9-7f7810010001,1 Peter 1:3,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,b285b572-6b26-4a1a-82a0-03748805d453,94878f9f-3bea-42f2-9b63-f48211001100,confidence,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,afb211d8-ea0c-4cee-9365-b394c3139d9d,0410f4a6-6571-4bc5-88ee-e39511110011,disciples,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,d72d9257-edf3-488d-ac61-6b7facd3e611,aa815985-9a42-4d81-aac8-da4900000101,Arabic,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,dac923c7-681d-42d7-91d3-41e6008b3e28,0410f4a6-6571-4bc5-88ee-e39501110111,dead,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,df6356df-9dc0-4428-b721-da22b163755a,7d4e008c-88d8-429c-99df-afec00010111,do,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,2872db9e-72f4-4959-b938-73e6661da22d,bb5a0516-d8aa-4ed6-9133-7f7500110111,tomb,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,5884a53a-3fbc-4eb2-99e5-f550ade41500,7450c506-32fb-49d1-97b9-7f7801001000,1 Corinthians 15:6,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,bf418a2b-4c33-46cc-acef-626525ecd6d8,7450c506-32fb-49d1-97b9-7f7801001001,1 Corinthians 15:7,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,6d7cb31c-5174-4c7e-88db-5ab5d5d9b178,7450c506-32fb-49d1-97b9-7f7801001010,1 Corinthians 15:8,cmokkxw5v03uyqsccis58pea6,
cmp78s2370fa4qm01alwjtimg,7_0-nur05,f740988a-d8a2-4ba5-9935-5e1d2f0ecb39,3851325a-9e1c-4a1a-b042-8de001010101,facts,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,10d2e0c8-43e9-4544-a34b-4db60fd5ec45,c42bf065-a2ef-4263-86fc-892e00100111,John 8:6,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,24cdb929-0654-4545-87a6-7332a17d721e,3851325a-9e1c-4a1a-b042-8de011100100,found culture,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,7d9d5361-eb26-4ae6-9789-203512b895cb,c42bf065-a2ef-4263-86fc-892e00011100,John 8:11,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,ddca17bd-410a-4437-a53d-3b469567f8b7,c42bf065-a2ef-4263-86fc-892e00101001,John 8:8,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,e1d87add-a7de-4d4b-97eb-aaab59c33037,c42bf065-a2ef-4263-86fc-892e00100101,John 8:5,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,5d5d327a-a3d9-4fa2-bd72-dff828b7e796,c42bf065-a2ef-4263-86fc-892e00011010,John 8:1,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,f1c869ca-f59c-4839-b9a2-182799a5e0f1,c42bf065-a2ef-4263-86fc-892e00011110,John 8:2,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,bf3e0615-c7cf-438e-8428-005427315b13,c42bf065-a2ef-4263-86fc-892e00101000,John 8:7,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,3d9be24e-3ee8-461e-a109-7e38aa09c2b9,c42bf065-a2ef-4263-86fc-892e00101010,John 8:9,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,bb6ccef2-bef4-4a1b-991a-abd7a4cab894,2c750a23-bab5-412c-8609-2a2200010100,like,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,ff0ccb05-5e2f-4496-9cbf-6002d7111789,2c750a23-bab5-412c-8609-2a2210111110,Luke 22:42,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,baa892b5-2e1e-4107-9cf6-53e314cce423,0875c315-96f7-457b-a568-16b111100011,really,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,13f77e21-f42b-4d20-a213-b34086256500,bb5a0516-d8aa-4ed6-9133-7f7501110011,trustworthy,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,9260a093-ef52-427e-b572-d2f90f32ded4,928f6cbc-9d2d-4c0a-ac40-fbf101111110,Nur,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,7ca56060-a109-4904-8ef3-b1bc3dc1f932,2c750a23-bab5-412c-8609-2a2200111010,love,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,a70a0b6a-8145-4ec0-8208-53a0eed5c0be,bb5a0516-d8aa-4ed6-9133-7f7510010011,unique,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,4eca0b72-daa8-4334-bf64-43108a412f55,3851325a-9e1c-4a1a-b042-8de001100000,faith,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,508ff8b0-de02-44d6-ab06-a765ea1d6089,28d43a8d-f3a9-4684-b4f9-a0f510110010,adventure,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,4cf154b8-a141-4bba-8fa5-2a3d0ae23653,94878f9f-3bea-42f2-9b63-f48210111000,compassion,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,9d306da9-1090-4581-923d-fe9d5a785bcb,ce0bbabb-798d-4c3c-83f0-d45510010101,series,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,11be8837-bd11-4d8c-88f5-1d64c8f40345,bb5a0516-d8aa-4ed6-9133-7f7511111100,what,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,cc3c644a-6cde-4eeb-a3ff-26e7343b69a3,21164816-0107-4594-b4e6-6e8410000001,John 14:10,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,0fa36a41-9c7a-43fe-a129-6a7263b49a93,928f6cbc-9d2d-4c0a-ac40-fbf111101110,people,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,a082e8a1-ef44-4252-8070-143b4e695cbd,f05e5671-3479-4c41-8d23-e88600111011,world,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,a4c4b012-aedd-4616-a85d-e527e97f1372,21164816-0107-4594-b4e6-6e8410001101,John 14:9,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,acf2ab2b-aea5-4ce3-be52-822d07c2d740,21164816-0107-4594-b4e6-6e8410001100,John 14:8,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,bcb69a4b-be56-406d-88f6-094e83c549e0,0410f4a6-6571-4bc5-88ee-e39500111010,culture,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,97d557e2-4458-45ae-b8fd-7c7bc1fab391,c42bf065-a2ef-4263-86fc-892e00100011,John 8:4,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,e09ae5e6-8646-4a65-843c-12ae9931446e,c42bf065-a2ef-4263-86fc-892e00011011,John 8:10,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,d72d9257-edf3-488d-ac61-6b7facd3e611,aa815985-9a42-4d81-aac8-da4900000101,Arabic,cmokkxw5v03uyqsccis58pea6,
cmp78s32j0famqm01oi1d2q94,7_0-nur06,8a11d18b-4592-499e-aa5a-4c5cdd1eb37d,c42bf065-a2ef-4263-86fc-892e00100000,John 8:3,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,4ae4cb4e-4a04-498d-a88a-a48579030c02,8786dc5f-305d-4c06-bddb-f24411011100,God,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,9260a093-ef52-427e-b572-d2f90f32ded4,928f6cbc-9d2d-4c0a-ac40-fbf101111110,Nur,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,a0392ea6-8989-4ac9-83b7-57c86965ee75,2c750a23-bab5-412c-8609-2a2200001101,life,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,78d827ec-527a-4c5f-aaa0-11eb567256c4,28d43a8d-f3a9-4684-b4f9-a0f501000001,8.1,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,fa959e80-3514-436b-9c14-58ed5a992e70,40478432-5533-4d28-9a61-6bb611110010,Romans 6:6,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,94b27fcf-157b-41c8-bab4-c6dd9c8a8ec7,40478432-5533-4d28-9a61-6bb611010110,Romans 3:24,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,4f1a48dc-a407-4165-8f9f-89c6075037bf,3851325a-9e1c-4a1a-b042-8de000110110,experience,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,eb319db7-91d5-4f9d-bb2d-d3cfe96149d9,8786dc5f-305d-4c06-bddb-f24401000111,Genesis 1:27,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,4eca0b72-daa8-4334-bf64-43108a412f55,3851325a-9e1c-4a1a-b042-8de001100000,faith,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,baa41864-42d1-4081-a5ca-f9d46c88541a,692316a7-dd63-4172-b646-364410000110,help,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,508ff8b0-de02-44d6-ab06-a765ea1d6089,28d43a8d-f3a9-4684-b4f9-a0f510110010,adventure,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,342937e3-2b93-4ad6-9b88-26b46dca3fef,21164816-0107-4594-b4e6-6e8400110100,John 1:12,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,5b5133f8-37e4-4c5b-850a-fd2958988b72,3851325a-9e1c-4a1a-b042-8de001011000,failing,cmokkxw5v03uyqsccis58pea6,
cmp78s46p0fb6qm019zxtu9sx,7_0-nur07,ef7b5c5d-f414-4440-a6f2-5f45ce2792ef,928f6cbc-9d2d-4c0a-ac40-fbf100111001,my,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,3cb08c67-18f2-4333-b157-e34b9db1b9c9,3851325a-9e1c-4a1a-b042-8de000110011,expectations,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,65ebf362-640f-419c-a0c1-7d736437169c,8786dc5f-305d-4c06-bddb-f24411000010,German,cmokkxw5v03uyqsccis58pea6,
