videoId,coreVideoId,editionId,dubRows
cmp781rkx02d0qm01g6gba41l,1_jf6150-0-0,cmp72344d07veo00106f7owhq,685
cmp781sp002dkqm01afgkh1cz,1_jf6151-0-0,cmp722aus07pmo001k9j1lwqe,683
cmp781u3402ecqm01b23l3zg0,1_jf6152-0-0,cmp724n2q0869o001mtghzuam,681
cmp781vbz02f2qm01vhgb6zyx,1_jf6153-0-0,cmp7227wl07p1o001v67dwudb,681
cmp781xp402gaqm01ht1ni5bc,1_jf6155-0-0,cmp723zw2081oo001eo97wsf3,682
cmp781z2y02h6qm01hf4rce96,1_jf6156-0-0,cmp722exd07qfo001xqvts2ie,683
cmp7822u102jaqm01j4xg16xt,1_jf6159-0-0,cmp721dox07j2o001bzwt22x3,683
cmp78256t02kmqm01iuotw495,1_jf6161-0-0,cmp720z7j07g7o001t420ihiy,691
cmp76z3kf02rcny01tualv0bi,1_jf6104-0-0,cmp724qqw086zo001o7r15ynn,686
cmp76znob02v8ny01ihd4kfn8,1_jf6107-0-0,cmp71zm4x076io001mq9u5xzd,685
cmp76zt5402w8ny01d40vgm3l,1_jf6108-0-0,cmp723k0207yjo001ze7p2aq1,684
cmokmmf5m0o86qscc4bftakhx,CS1,cmp723qlw07zuo001ra46ldrz,567
cmokmnj3p0oapqscc3mmb9h0r,HopeCollection,cmp7234tk07vjo001lu7ch3h8,183
cmp770vlq030sny01aei6iwin,1_jf6114-0-0,cmp723taf080do001pzhpxx1h,684
cmp771a3k032qny01hegqvskc,1_jf6116-0-0,cmp724e32084ho0019xt64re6,685
cmp78108i01zoqm01crjhima3,1_jf6130-0-0,cmp724hle0856o001aig1i7g5,684
cmp7818yu0234qm0115sjnjwf,1_jf6137-0-0,cmp722h6907qvo001sv36vmj1,684
cmp781a7u023sqm01m8t6iodb,1_jf6138-0-0,cmp723w3g080xo001twijlhpr,685
cmp781n0702asqm01imez2jbl,1_jf6148-0-0,cmp722juj07reo001pqldjnr0,683
cmp7821ky02imqm01xfw7tsb0,1_jf6158-0-0,cmp724cyo0849o001xok37t9c,681
cmp78242v02jyqm01qhg4rmq7,1_jf6160-0-0,cmp720365079vo001jmzivjnb,684
cmp76zc2202seny01di1ovnfl,1_jf6105-0-0,cmp71zy8l078wo001es3gvykx,685
cmp770s6p030iny01x4utu5qu,1_jf6113-0-0,cmp720h2v07cmo0018vel0a9q,685
cmp772850036iny018pw1rf4l,1_jf6120-0-0,cmp723rqm0802o001le9w149i,685
cmp772fnl0378ny0123drbwkv,1_jf6121-0-0,cmp721ca807iso001der20u76,685
cmp772lje0384ny01i93ilpw5,1_jf6122-0-0,cmp721r6n07lqo001wqoc904e,685
cmp772qlm038yny012n1dj5bo,1_jf6123-0-0,cmp7251pg0895o001ycu3wo3e,683
cmp772wm6039any017xhjufmj,1_jf6124-0-0,cmp71zjbh075yo001s091ah21,684
cmp780z4o01z8qm01u3foeyt3,1_jf6129-0-0,cmp720ac507bao001yqvv6pbi,686
cmp784v1o03wmqm01oaw18rsz,1_wl7-0-0,cmp7219m207i9o001mswn5ak0,247
cmp781bgy024gqm01g2fapf1j,1_jf6139-0-0,cmp71zpsf0778o0015ln35hh4,683
cmp781o9502bkqm0142n8lmu0,1_jf6149-0-0,cmp7226s407oto0011baohcv5,684
cmp7820bw02hyqm01ohu7uywa,1_jf6157-0-0,cmp724izy085go001i7m9ejhk,682
cmp76yn4x02owny01ta34f78o,1_jf6102-0-0,cmp720o8l07e1o0014b2iwpna,1593
cmp76zt5402w8ny01d40vgm3l,1_jf6108-0-0,cmp71zlzu076ho001fg6qren9,1593
cmp770j0i0306ny01nbq1ops3,1_jf6112-0-0,cmp71zj6f075xo0012qixaqyd,1590
cmp771jse033kny01qmrt171s,1_jf6117-0-0,cmp7221kz07nso001fz0qts5k,1593
cmp781a7u023sqm01m8t6iodb,1_jf6138-0-0,cmp71zpic0776o0018c36kytr,1592
cmp781dz2025qqm01knlnvek0,1_jf6141-0-0,cmp7246wz0832o001kcxufsam,1593
cmp781lr302a4qm01zn7s6fp4,1_jf6147-0-0,cmp7237cp07w1o001y6o7bl11,1593
cmp781wg402fmqm01o6yursx9,1_jf6154-0-0,cmp722ljg07rqo001wtc60adg,1594
cmp7821ky02imqm01xfw7tsb0,1_jf6158-0-0,cmp721bpy07ioo00105767yql,1593
cmp771uqg034yny01v3bxv5st,1_jf6118-0-0,cmp723bzp07wyo001m06mamkw,1593
cmp772fnl0378ny0123drbwkv,1_jf6121-0-0,cmp7246mt0830o0019j43489l,1592
cmp772qlm038yny012n1dj5bo,1_jf6123-0-0,cmp71zsw0077uo0011bny082n,1594
cmp780z4o01z8qm01u3foeyt3,1_jf6129-0-0,cmp720icj07cvo001zzuitcf0,1591
cmp7812vb020kqm01q84umus6,1_jf6132-0-0,cmp7228br07p4o001vz53pjeu,1591
cmp7816lx0220qm01ykkcxrwi,1_jf6135-0-0,cmp71zzd70794o001z6usqxlb,1592
cmp781cq20252qm01qs5gp3wj,1_jf6140-0-0,cmp724akm083so0011ctr0n06,1594
cmp781ggw0274qm01ypc4v694,1_jf6143-0-0,cmp720lpq07djo001prix4z8h,1593
cmp781o9502bkqm0142n8lmu0,1_jf6149-0-0,cmp7205p707ado001f2cp1y8y,1593
cmp781sp002dkqm01afgkh1cz,1_jf6151-0-0,cmp723igd07y8o001u77ezuko,1594
cmokmojsu0oddqsccqpkx8od3,JFP-Interests-Family,cmp724kek085qo0011waa3cs2,2290
cmp781vbz02f2qm01vhgb6zyx,1_jf6153-0-0,cmp722ltk07rso001ac9ulpxq,1596
cmp76unn6021yny01h0w0kt63,1_cl1302-0-0,cmp7239go07wgo001b5dz0rir,190
cmp76uvun0236ny0141akqr2x,1_cl1303-0-0,cmp721j6707k5o001sop0w0np,190
cmp76v85w0252ny01ubhry9ma,1_cl1305-0-0,cmp724lt70860o001msojcu5j,190
cmp7820bw02hyqm01ohu7uywa,1_jf6157-0-0,cmp723p2607zjo001vtv472py,1592
cmp76vo1m026ony0167zywy1j,1_cl1307-0-0,cmp723nii07z8o001hxgf7zcw,190
cmokmm61a0o7hqsccyuntzaum,Anticipate,cmp724zql088ro0010alq6kq9,2279
cmp772wm6039any017xhjufmj,1_jf6124-0-0,cmp724z1c088mo001i2mpmxl6,1593
cmp780u4p01wkqm01fwx40y62,1_jf6125-0-0,cmp7220gf07nko001rx8xabc7,1591
cmp780y0q01yqqm0130nrc1aa,1_jf6128-0-0,cmp7224o707oeo001oowlvuie,1591
cmp7811mf0208qm01k646orfo,1_jf6131-0-0,cmp723f2z07xko001c35t46m1,1593
cmp7815cy021cqm015l1l0yqs,1_jf6134-0-0,cmp721j1407k4o001fag29kdr,1593
cmp76zyw002wyny013kze3wcq,1_jf6109-0-0,cmp720lal07dgo001u6rh4121,685
cmp7812vb020kqm01q84umus6,1_jf6132-0-0,cmp723sas0806o0013yaxp8bk,686
cmp76vu1z0274ny016gdd8vgs,1_cl1308-0-0,cmp7213k807h2o001yoods06s,190
cmp76vz3x028qny0121ycvs4b,1_cl1309-0-0,cmp7234jh07vho001odr64dhn,190
cmp76wrjz02dqny01yc338u7u,1_cl1313-0-0,cmp724yh6088io001zo0k0q83,190
cmp781bgy024gqm01g2fapf1j,1_jf6139-0-0,cmp720uuj07fco001vzhya3xm,1594
cmp76wk5s02cwny01g0gjc6xc,1_cl1312-0-0,cmp72135207gzo001jlgdvfzx,190
cmp76yn4x02owny01ta34f78o,1_jf6102-0-0,cmp7205ua07aeo001pbzuya9r,684
cmp76yw1102qiny01sjxaygvh,1_jf6103-0-0,cmp720eet07c3o001g2yiwsni,684
cmp7815cy021cqm015l1l0yqs,1_jf6134-0-0,cmp72372j07vzo0019dbiopdf,684
cmp781dz2025qqm01knlnvek0,1_jf6141-0-0,cmp724pr4086so001nlssghmb,684
cmp781ki5029cqm019dva2vgr,1_jf6146-0-0,cmp71zntk076uo001pa9uarrx,682
cmp7832cy030iqm01dtvqdcbn,1_wl604402-0-0,cmp721cph07ivo0019iaebqhu,240
cmp786gs404quqm01ktejdjfn,2_0-Flow,cmp72191q07i5o0017dpilnxx,179
cmp783bfz035gqm01s7m5lkmd,1_wl604409-0-0,cmp720kgc07dao001xuuwbk40,240
cmp783sq503duqm01nwvrb9up,1_wl604420-0-0,cmp7217x807hxo001u9bmrz3u,240
cmp783ws203g2qm01xxp4ag20,1_wl604423-0-0,cmp71zl57076bo001t3dnnwn8,240
cmp78433b03jeqm013sl33ot7,1_wl604427-0-0,cmp721g2s07jjo001w2s2kh6n,240
cmp78475n03lgqm01btiakdxi,1_wl604430-0-0,cmp7248qm083fo001vy24yg7o,240
cmp784brr03ngqm01lum5ev1b,1_wl604433-0-0,cmp7251fd0893o0019ff237zm,240
cmp772850036iny018pw1rf4l,1_jf6120-0-0,cmp7235sx07vqo001etir5qgo,1592
cmp780viu01xcqm01yhmyjm2b,1_jf6126-0-0,cmp724dds084co001s6iplmn7,1591
cmp780wwr01y2qm015r29r0b7,1_jf6127-0-0,cmp722omx07sco001infmsngo,1593
cmp78256t02kmqm01iuotw495,1_jf6161-0-0,cmp722mdr07rwo0010pds5of8,1583
cmp76zhss02tqny01s96y2h23,1_jf6106-0-0,cmp71zpxi0779o001n4msrowg,1590
cmp7704wz02yony019ilsp8o5,1_jf6110-0-0,cmp72097l07b2o001ri8ucht8,1592
cmokmp0wk0oebqsccu6yxd9cl,JFP-Interests-Training,cmp724hgc0855o001shfc9mmt,2277
cmp76wzwj02f2ny01lwx9znca,1_fj-0-0,cmp723k5407yko0016bd4zgmd,22
cmokmnz3d0oblqsccr1n190bg,JFM1,cmp724xhq088bo001vlr4jy3l,2320
cmokmofhg0od3qsccepzlc8v7,JFP-Interests-Evangelism,cmp71zvzc078go001dvkgtfn7,2312
cmokmpfra0oezqsccro47rskf,LOVE40,cmp720wj907foo001lvew4z2n,2286
cmp770j0i0306ny01nbq1ops3,1_jf6112-0-0,cmp72069h07aho001psnsl57d,687
cmp780viu01xcqm01yhmyjm2b,1_jf6126-0-0,cmp723ywk081ho001n5neqcpg,686
cmp78ijls0asyqm01u2faga78,2_The_Four_Collection,cmp725c4908b7o0013wilgdm6,179
cmp7816lx0220qm01ykkcxrwi,1_jf6135-0-0,cmp7244iy082lo001eck75ey8,685
cmp771jse033kny01qmrt171s,1_jf6117-0-0,cmp724vds087wo00149n89bra,684
cmp781hpx027sqm011cbbc0mj,1_jf6144-0-0,cmp721agg07ifo001rf88x7ue,683
cmp76ycuv02n0ny01faav3nae,1_jf6101-0-0,cmp7208dc07awo00106mizoww,678
cmp781lr302a4qm01zn7s6fp4,1_jf6147-0-0,cmp724dy0084go0019wxbndcx,684
cmp7817uv022kqm01ix93s1ap,1_jf6136-0-0,cmp724mdg0864o001wjng4l34,684
cmp76xcw602imny01vnsbwwy9,1_jf-0-0,cmp71zmk2076lo001oo2174vh,1587
cmp76yw1102qiny01sjxaygvh,1_jf6103-0-0,cmp7217cy07hto001mleai5ss,1593
cmokmocio0octqsccfsbpykqk,JFP-Interests-Discipleship,cmp71zsbs077qo001ecw266i6,2220
cmokmq5660oicqscc7qitao5u,WYDCollection,cmp723wnq0811o0014k5hj03m,487
cmokmnnkw0ob7qscc3ogitxpi,JF-Language-Stack,cmp724r660872o00127fzoleg,2320
cmp76ub2c020ony014bfw5nxd,1_cl13-0-0,cmp7204uu07a7o001p9b94466,193
cmp782rw502vaqm013oqeih1y,1_wjv-0-0,cmp7246ru0831o001ja4wo5ch,123
cmokmovkd0odtqsccoeohg36q,JFP-Interests-Sports,cmp7216xr07hqo001dgcqegk9,90
cmp78369u032kqm01hmndj6da,1_wl604405-0-0,cmp71zvf4078co0015f8183nz,240
cmp7837dy0334qm01q50g3zmy,1_wl604406-0-0,cmp7245ng082to001qik7jlgy,240
cmp7838x5033yqm01j8n5pv6x,1_wl604407-0-0,cmp71zhhe075lo001o2teahl9,240
cmp783vir03feqm01iu0jas61,1_wl604422-0-0,cmp723al207woo001u8vta2jv,240
cmp783yb803guqm01hd6u1z2u,1_wl604424-0-0,cmp72358r07vmo001ysx0etqt,240
cmp78447r03k2qm019h2ambpl,1_wl604428-0-0,cmp7223yu07o9o001yfk6z46n,240
cmp783hvn038cqm01wgj6b5ij,1_wl604414-0-0,cmp72415o081xo001dk82r9ke,240
cmp783u4m03emqm01e7rcb2ll,1_wl604421-0-0,cmp7248bh083co001lgwelfth,240
cmp78405103hwqm01bph8tlma,1_wl604425-0-0,cmp722n8207s2o001oqwhbf4f,240
cmp784a8l03muqm01xd7uvlyy,1_wl604432-0-0,cmp721yws07n9o001mh7pi5k7,240
cmp784q6303tyqm01a23ainou,1_wl604441-0-0,cmp723xn30818o001tnvb7cqt,240
cmp782qcu02ugqm01gk2e5c5y,1_riv_12-0-0,cmp723nxr07zbo001ibn1idqo,40
cmp784tsl03vuqm01ce5oanh7,1_wl604444-0-0,cmp7236sb07vxo001e76ls4mi,240
cmp771uqg034yny01v3bxv5st,1_jf6118-0-0,cmp720lzu07dlo001pnibn0u3,684
cmp781wg402fmqm01o6yursx9,1_jf6154-0-0,cmp7236d607vuo001s6o7hku8,683
cmp7831nt0306qm01ju20rirb,1_wl604401-0-0,cmp722f2f07qgo001ud09njil,240
cmp7888sr05luqm01vwiswiy0,2_0-Medley,cmp723zgw081lo001h8efbhsn,178
cmp784sji03v6qm01t21d1tgi,1_wl604443-0-0,cmp723cjx07x2o001fxf442lg,240
cmokmopz90odlqsccd0iybru9,JFP-Interests-Relationships,cmp71zn9b076qo001xv6z3ab3,2291
cmp770cpx02zuny0159xq2baq,1_jf6111-0-0,cmp72396k07weo00176i6riv9,684
cmp781j43028iqm0137cy8gsj,1_jf6145-0-0,cmp723kpc07yoo001kafnqh0b,682
cmp76w7uq02asny011hnrh6om,1_cl1310-0-0,cmp722l4907rno0018u8c785h,190
cmp783cpb0368qm0166a59vtk,1_wl604410-0-0,cmp72120m07gro001glb6rcwe,240
cmp783o3x03beqm01hlz0446n,1_wl604417-0-0,cmp723wim0810o001vadyd8rj,240
cmp784e0403o8qm01961owusn,1_wl604434-0-0,cmp722m8p07rvo001iw57gu6l,240
cmp772lje0384ny01i93ilpw5,1_jf6122-0-0,cmp71zsgt077ro001u7fjxbte,1592
cmokmo58r0oc3qsccw31ii57u,JFP-Classic,cmp7218wo07i4o001zc0dy76k,2306
cmp76jjpv008eny01nws3xymj,11_Advent,cmp72272907ovo001icx786t0,41
cmokmo7a70ocbqscceaqf21oa,JFP-Featured,cmp720j6w07d1o0013xkumysj,2291
cmokmp3cs0oejqsccfv6u9q5l,JFP-Interests-Women-Resources,cmp723d4507x6o001z6fulwoc,2307
cmokmmas60o7qqscc4z2ptbr7,BibleProject,cmp7209mq07b5o001vimovxfu,46
cmp784jl703qsqm01yjx5akw4,1_wl604438-0-0,cmp7244y4082oo001b417wul0,240
cmp784foe03oyqm01utwgwspo,1_wl604435-0-0,cmp7240vk081vo001owf3kl03,240
cmp76v2040248ny01vwz4gka2,1_cl1304-0-0,cmp721taj07m5o001gs0w692a,190
cmp78a0mq06ggqm01d99151af,2_0-Yol,cmp724kop085so001u0pf1uv0,179
cmp78a4og06ikqm01mur1757n,2_Acts-0-0,cmp724b9z083xo001m3up07u5,9
cmp783dte036sqm0136t91sbk,1_wl604411-0-0,cmp723nsn07zao001bf77pmks,240
cmp76uecu0216ny01eel7sonr,1_cl1301-0-0,cmp721bft07imo001wc21x943,190
cmp7845m303ksqm0132aumps1,1_wl604429-0-0,cmp721v4b07mio001mazwb1bp,240
cmp78a5sv06j6qm018vqxw4u1,2_Acts7301-0-0,cmp7245xj082vo001rvs9xbmw,9
cmp784gnn03pcqm01zu9s4udw,1_wl604436-0-0,cmp722tzf07teo001evdw2rvp,240
cmp78qown0emmqm01u1w7jmcc,7_0-nfs01,cmp7210h007ggo001jidhnawo,18
cmokmpm9m0ofxqsccffdmrpux,MAG1,cmp723eir07xgo001px6jzphk,22
