languageId,coreLanguageId,audioLanguageSlug,canonicalEnglishName,canonicalNameLocales,legacyEnglishNameMirror,bcp47,iso3,source,deletedAt,syncedAt,rawDubRows,rawVideos,rawLeafVideos,rawCollectionVideos,rawSeriesVideos,rawVideosWithDeclaredSource,publishedVideosWithDeclaredSource,publishedLeafDeclaredSources,publishedLeafHls,publishedLeafMux,publishedLeafHlsOnly,publishedCollectionDeclaredSources,publishedSeriesDeclaredSources,watchUnrestrictedPublishedLeafDeclared,curatedDeclaredLeafReferences,approvedCuratedDeclaredLeafReferences,curatedEditorialChoicesWithDeclaredLeafSource,approvedEditorialChoicesWithDeclaredLeafSource,uncuratedDeclaredLeafVideos,manifest_pass,manifest_failed,currentWebDisplayLocale,priorCurrentRecommendationStartUnique,priorCurrentRecommendationEligibleIdCeiling,rawLeafInventoryMeaning
cmokkyn9u041rqscc6hak0uiw,5441,achi-rabinal,"Achi, Rabinal",acr|en,"Achi, Rabinal",acr,acr,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1m1ky00piqsv187z2dd7b,13555,acholi,Acholi,ach|en,Acholi,ach,ach,core,,2026-09-03T07:00:06.934937+00:00,124,124,107,15,2,107,107,107,107,107,0,0,0,107,39,38,39,38,68,0,0,en,37,107,declared metadata; canonical identity and stream health not guaranteed
cmok1mqd900vmqsv1vekw6ssk,139273,achuar-shiwiar,Achuar-Shiwiar,acu|en,Achuar-Shiwiar,acu,acu,core,,2026-09-03T07:00:06.934937+00:00,79,79,63,16,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,63,declared metadata; canonical identity and stream health not guaranteed
cmokkxk9203s0qsccisvl3qjh,50836,adangme,Adangme,ada|en,Adangme,ada,ada,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokky7xs03xzqsccxx0mccwb,5338,adele,Adele,ade|en,Adele,ade,ade,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkus0x032uqscc1d5gw52l,24173,adi,Adi,en,Adi,adi,adi,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1s48y025aqsv17ymbb86s,16116,adioukrou,Adioukrou,adj|en,Adioukrou,adj,adj,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokl20nf04viqsccijez5z2d,96802,adonara,Adonara,adr|en,Adonara,adr,adr,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkrxz402dlqsccjtnkqsbl,20522,adygey,Adygey,ady|en,Adygey,ady,ady,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,ady,0,0,declared metadata; canonical identity and stream health not guaranteed
cmokl211b04vlqscctx22aynj,96809,adzera,Adzera,en,Adzera,adz,adz,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkwrf303kqqscc8o5th6xs,4468,afar,Afar,aa|en,Afar,aa,aar,core,,2026-09-03T07:00:06.934937+00:00,132,132,116,15,1,116,116,116,116,116,0,0,0,116,67,63,57,54,49,0,0,en,53,116,declared metadata; canonical identity and stream health not guaranteed
