id,slug,bcp47
13376,maay,ymm
1338,ife,ife
13408,xhosa,xh
1341,hausa,ha
13414,venda,ve
1342,gen-gbe,gej
1343,zarma,dje
1344,dendi-malanville,ddn
1345,anufo,cko
13465,sotho-northern,nso
134882,alis-i-ron,cla
1352,lepcha,lep
13555,acholi,ach
13562,arabic-sudanese-spoken,ar-apd
13567,avokaya,avu
13586,bari,bfa
13644,didinga,did
13664,lopit,lpx
13692,kakwa,keo
1370,nepali,npi
1371,magar-eastern,mgp
13719,katcha-kadugli-miri,xtc
13745,jur-modo,bex
1375,dzongkha,dz
13805,toposa,toq
13812,tira,tic
138284,sambalpuri,spv
13848,shilluk,shk
13876,ndogo,ndz
13889,moro,mor
13893,madi,mhi
13901,moru,mgd
139058,dinka-agar-bor,dib
139071,kikuro,kui
139072,dogose,dos
139080,lebanese-sign-language,jos
139081,bengali-indian,bn
139082,bangla-muslim,bn-BD
139089,tu-huzhu,mjg
139090,gyaazi,gji
139091,tacawit,shy
139094,kabeverdiane-barlavente,kea-CV-B
139104,tlicho,dgr
139111,mangghuer-wuge,mjg
139114,kurdi-sorani,ckb
139115,kurdi-sorani-eastern,ckb
139116,kiche-cunen,quc
139117,malagasy-antesaka,mg-tkg
139124,yaka-central-african-republic,axk
139126,yaka-d-r-c,yaf
139128,margi-south,mfm
139129,chuukese,chk
139131,chatgaya-chittagonian-hindu,ctg
139132,bouyei-anshun,pcc
139134,chibi-setentrional,rmq
139136,portuguese-mozambique,pt-MZ
139137,tasahlit,kab
13915,luwo,lwo
139153,antesaka,tkg
139154,birifor,bfo
139155,ndrulo,led
139156,thur,lth
139157,ehugbo,ig
139166,pattapu,ptq
139167,nethakani,te
139169,kurdi-hawrami,hac
139179,hakhun,nst
139181,arabic-gulf,ar-afb
139183,madi-okollo,snm
139185,ruruuli-runyala,ruc
139188,zhuang-central-hongshuihe,zch
139193,keakalo,khz
139202,waorani,auc
139205,aguna,aug
139226,ghotuo,ikh
139244,ayta-ambala,abc
139250,lampung-nyo,abl
139251,abanyom,abm
139273,achuar-shiwiar,acu
139319,angaataha,agm
139321,aghem,agq
139322,awajun,agr
139342,arosi,aia
139376,angal-heneng,akh
139397,alangan,alj
139411,yanesha,ame
139414,ambai,amk
139429,ansus,and
139476,apalai,apy
139498,arbore,arv
139511,dano,aso
139524,arhe,atg
139538,burun,bdi
139543,bende-tongwe,bdp
139544,burunge,bds
139554,benabena,bef
139568,awa-8,awb
139598,akuku,ayk
139601,ayoreo,ayo
139611,awing,azo
139635,babanki,bbk
139643,kulung,bbu
139661,awad-bing,bcu
139663,bana,bcw
139683,binandere,bhg
139684,bhilali,bhi
139693,bhele,bhy
139707,bora,boa
139741,fanamaket,bjp
139761,bekwel,bkw
139762,bilua,blb
139772,ayta-mag-indi,blx
139791,somba-siawari,bmu
139792,bum,bmv
139803,tawbuid-eastern,bnj
139817,mmen,bfm
139862,bankagooma,bxw
139885,bozo-tigemaxo,boz
139904,tchumbuli,bqa
139909,bandial,bqj
139916,bulusu,bqr
139945,oniyan,bsc
139961,baiso,bsw
139973,bateq,btq
139996,baelelea,bvc
139997,baeggu,bvd
140001,belanda-viri,bvi
140010,nivacle,cag
140021,tsimane,cas
140033,ede-cabe,cbj
140060,ashaninka,cni
140083,wamey,cou
140087,chamacoco,ceg
140126,cabecar,cjp
140162,andio,bzb
140166,bozo-jenaama,bze
140169,bisu,bzi
140196,andaandi,dgl
140205,dhimal,dhi
140225,dime,dim
140246,miao-chuanqiandian-cluster,cqd
140248,chara,cra
140297,gichuka,cuh
140356,dei,dee
140367,deori,der
140398,dongo,doo
140404,mosiye,dox
140409,dolpo,dre
140421,enggano,eno
140424,enwan,env
140434,ese-ejja,ese
140443,dogon-tommo-so,dto
140449,duna,duc
140487,teke-eboo,ebo
140520,markweeta,enb
140535,dogon-jamsay,djm
140549,dogon-mombo,dmb
140551,furu,fuu
140555,fwe,fwe
140558,gaddang,gad
140566,gata,gaq
140569,gadaba-mudhili,gau
14060,zigula,ziw
140614,fataleka,far
14064,zanaki,zak
140640,fore,for
140672,gao,gga
140675,gurgula,ggg
140740,glavda,glw
140770,gowlan,goj
140771,gowli,gok
