language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Belorussian,belorussian,be,0,0,Missing published card translation,1259,120,120,22,98,98,98,98,2,20,True,2026-09-10T03:33:01.941194+00:00,1,b0ed872b43ff6d5cf0ec7bcedafcbd256bbc0b35ef0f9ea56f29f906068857a1
Bislama,bislama,bi,0,0,Missing published card translation,9181,121,121,22,99,99,99,99,2,20,True,2026-09-10T03:33:02.623022+00:00,1,8a13c4b2be731491410bf87ae09400242319b0347db7d744cb85e08873e6ee42
Bosnian,bosnian,bs,0,0,Missing published card translation,20581,107,107,23,84,84,84,84,2,21,True,2026-09-10T03:33:03.263893+00:00,1,1949e3eb1625940f3c37451688a8894ba37686d126562b74b747d625e69b4a84
Brazilian Sign Language,brazilian-sign-language,en,1,1,Insufficient eligible catalog inventory,1872,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:38.292104+00:00,1,e10de5609a0faaa5c587f1d23ec3353a7971073806c9e86a44f2d621aa6d2a37
Bulgarian,bulgarian,bg,0,0,Missing published card translation,1964,192,192,26,166,166,166,166,2,24,True,2026-09-10T03:33:03.766103+00:00,1,30dc574257dfa59b943e38ad08643713f5e272e08868f03b11763ff89619358e
Burmese,burmese,my,0,0,Missing published card translation,1254,99,99,16,83,83,83,83,0,16,True,2026-09-10T03:33:03.578772+00:00,1,dd86479cf4f63204e7602663d56f7615ce20da4199ed370c0e618ba92703e078
Burmese Musselmani,burmese-musselmani,my,0,0,Missing published card translation,24293,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:03.846227+00:00,1,0c40bf01eb3fe200993360c5fdb8abebe8d07c80242d621387374049e6313411
"Cakchiquel, Central",cakchiquel-central,cak,0,0,Missing published card translation,5439,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:33:04.935164+00:00,1,a51552700605cbd56caf86dd3810b8929094f27fd6d4b3fd77c3ca9247b9db8f
"Cakchiquel, Eastern",cakchiquel-eastern,cak,0,0,Missing published card translation,5397,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:05.555885+00:00,1,ffb6b7502206bdaaf6d72f7dd6c594a890ee86308ffab4e7ab549ff4dc3bde0d
"Cakchiquel, South Central",cakchiquel-south-central,cak,0,0,Missing published card translation,5437,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:33:05.657566+00:00,1,adb40c52e9ed1f47a091535f356c85814cea714bb2cb0ebc6eff9f9e06084f3d
"Cakchiquel, Western",cakchiquel-western,cak,0,0,Missing published card translation,5392,151,151,19,132,132,132,132,0,19,True,2026-09-10T03:33:05.836177+00:00,1,81944146b0fbe97a87db5a7cd0a2a9ef805e0f759b6b24b4afb10f66a63b081c
Cantonese,cantonese,yue,0,0,Missing published card translation,20601,349,349,41,308,308,308,308,2,39,True,2026-09-10T03:33:07.641908+00:00,1,ead6bc046db92b3c183c11e1d833cb7b607fba4a56612f9496e967cccd0a1d2f
Catalan-Valencian-Balear,catalan-valencian-balear,ca,0,0,Missing published card translation,531,168,168,21,147,147,147,147,0,21,True,2026-09-10T03:33:07.389535+00:00,1,c31d5e335cdaaf36f995ac27906311ed152c24146f85d7142f02343cc664e9d1
Cebuano,cebuano,ceb,0,0,Missing published card translation,12784,131,131,23,108,108,108,108,2,21,True,2026-09-10T03:33:07.431336+00:00,1,7db0fb61da71517ae587573ddadcba9e09dfe19ec35a65a5eda81bf6eb652933
Chamorro,chamorro,ch,0,0,Missing published card translation,5379,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:33:07.446847+00:00,1,b54b32229831b3d2bd51d7f18515fa42aa795acb7f2547ab32c25e87dd1217f7
Chechen,chechen,ce,0,0,Missing published card translation,7139,78,78,15,63,63,63,63,0,15,True,2026-09-10T03:33:09.029036+00:00,1,e41fe4b0066e87d617a77f21cf9786c16ba93bfb312eea64f43e7449e63d2a2c
Chichewa,chichewa,ny,0,0,Missing published card translation,20857,327,327,35,292,292,292,292,2,33,True,2026-09-10T03:33:10.212229+00:00,1,ce988e08fa9c7ecea02f64048cb6598fc23c8102f5e0dbb9c11f9237cc92beac
"Chinese, Guiliu",chinese-guiliu,zh,0,0,Missing published card translation,53352,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:09.524400+00:00,1,01aeaca75bf0a607c2aa2fcceba77d34ad8afa7b3cba08c1e845a521f7d6b302
"Chinese, Sichuan",chinese-sichuan,zh,0,0,Missing published card translation,23062,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:09.793111+00:00,1,b270fd1075547eeacffa9b6d493f8e8876f4e54c1205d9e1734b94f8b1015096
"Chinese, Simplified",chinese-simplified,zh-Hans,0,0,Missing published card translation,21754,127,127,38,89,89,89,89,0,38,True,2026-09-10T03:33:10.710445+00:00,1,bb4b9906ac089bacdda026a4f63d6646f746703247835342c54b98db96159ab8
"Chinese, Traditional",chinese-traditional,zh-Hant,0,0,Missing published card translation,21753,77,77,29,48,48,48,48,0,29,True,2026-09-10T03:33:10.675375+00:00,1,3c6dc662b954b6857d8572e364622c43ae42446ed8bec7f631852098fab0929e
"Chinese, Yunnan (Kunming)",chinese-yunnan-kunming,zh,0,0,Missing published card translation,23061,92,92,16,76,76,76,76,0,16,True,2026-09-10T03:33:11.102536+00:00,1,b524a118cea832140dce3c0ffb80a554760908a0fbe671af2fe43a26833ae135
Colombian Sign Language,colombian-sign-language,en,1,1,Insufficient eligible catalog inventory,4247,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:38.610326+00:00,1,ceb1805813c1872b78abea000f6f0952aea94ba607fc0cb471f527674fb02c35
Costa Rican Sign Language,costa-rican-sign-language,en,1,1,Insufficient eligible catalog inventory,4394,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:38.748188+00:00,1,ff2d3d3fc2cbaca0aac9d2a26457198eb20e3784053f8aea6ef168fe276c7fc8
"Cree, Western",cree-western,crk,0,0,Missing published card translation,3087,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:11.438655+00:00,1,7de9ae4114f8c2f1a43084e3a3715b610ce3dfa5994fd46de07002a739661729
Croatian,croatian,hr,0,0,Missing published card translation,1109,298,298,36,262,262,262,262,2,34,True,2026-09-10T03:33:12.834028+00:00,1,21994cd64b36ddd467256086b9633a493a16fc149773c89274bfaf39cfaec0a1
Csango,csango,hu,0,0,Missing published card translation,108102,92,92,16,76,76,76,76,0,16,True,2026-09-10T03:33:12.681978+00:00,1,2d7f8e9eb97b01c6f6ff36dd01e69b95bf383ec9d5a577c3ea0c84f5598337ae
Czech,czech,cs,0,0,Missing published card translation,4432,337,337,33,304,304,304,304,2,31,True,2026-09-10T03:33:13.467032+00:00,1,e9c8bbb70e8b4e341d1cfacfa7c5ad91c52164146cfe1b1e75c5792def3ab645
