language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Komi-Permyak,komi-permyak,koi,0,0,Missing published card translation,18528,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:34.885909+00:00,1,02eb210e3d2269942ddd80b0d5db017be112e6c62613d8521dfd97b48e1798a3
Korean Sign Language,korean-sign-language,en,1,1,Insufficient eligible catalog inventory,7355,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:39.607997+00:00,1,ecd6c252055bfa78e31f947cd259bd5ff696e4a4fdcbec0456a953cf834a1b02
Kortha,kortha,mai,0,0,Missing published card translation,183121,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:35.225177+00:00,1,45b3f7ce2afbc1d938205f9137be4fd79b45937d358138b9187eec9e0b556c8a
Kumyk,kumyk,kum,0,0,Missing published card translation,14629,78,78,15,63,63,63,63,0,15,True,2026-09-10T03:33:37.465229+00:00,1,99abc46e0b9ffe159ead0a89017623f0264fb733898b585989c1c136baf9fcba
"Kurdi, Sorani",kurdi-sorani,ckb,0,0,Missing published card translation,139114,220,220,24,196,196,196,196,0,24,True,2026-09-10T03:33:36.101320+00:00,1,8ed0bfb0d2519cc79b79738bc45d39829705a1e848dc1279cc37b2fad663a831
"Kurdi, Sorani-Eastern",kurdi-sorani-eastern,ckb,0,0,Missing published card translation,139115,75,75,14,61,61,61,61,0,14,True,2026-09-10T03:33:37.870293+00:00,1,6ede52559b1765a8135157c71db06d72a262b22cd2681e8fbbab0b0e9bcfe1cc
Kusaal,kusaal,en,4,5,Insufficient eligible catalog inventory,141653,15,15,10,5,5,5,5,0,10,False,2026-09-10T03:34:39.977642+00:00,1,87ec8cf6b0821f3622d43d0ffdb1e862d01c2486d46355cf41aa47466cf5f662
Kwasio,kwasio,en,9,10,Six cards available; reserve below 30,144002,16,16,6,10,10,10,10,0,6,True,2026-09-10T03:34:54.289796+00:00,1,834fe83c6bf044296435cbb8db1a23d8cf30fb35400ec5ac957510d5b33fb8e5
Kyrgyz,kyrgyz,ky,0,0,Missing published card translation,53299,206,206,29,177,177,177,177,2,27,True,2026-09-10T03:33:37.341012+00:00,1,14cf3897f269235a736158f8afc447a7591d07ce45ca2c041e94eedf3851f904
Lak,lak,lbe,0,0,Missing published card translation,18509,78,78,15,63,63,63,63,0,15,True,2026-09-10T03:33:37.346250+00:00,1,8e8d04faf6cdb6a29f107ad73afc8c8d92c96754de9ba77b8e81379f95d1c2f3
Lao,lao,lo,0,0,Missing published card translation,7411,183,183,26,157,157,157,157,2,24,True,2026-09-10T03:33:39.324254+00:00,1,995a7a91faa6b8258af0c58498089e1c8e0b08cf8bcc7f8feeb841f2bad130af
Latvian,latvian,lv,0,0,Missing published card translation,7519,101,101,21,80,80,80,80,0,21,True,2026-09-10T03:33:39.396968+00:00,1,fe4e3434281d0fcf20258620bae8b813a4dc66558312dd4831f7e2ac9d3082e7
Lebanese Sign Language,lebanese-sign-language,en,1,2,Insufficient eligible catalog inventory,139080,9,9,7,2,2,2,2,0,7,False,2026-09-10T03:34:40.052446+00:00,1,291f73eb8d741d98202190344cfa8daed3103b47ed427fcec162b7f9e72058b2
Lebanese-Syrian Arabic,lebanese-syrian-arabic,en,10,11,Six cards available; reserve below 30,156811,21,21,10,11,11,11,11,0,10,True,2026-09-10T03:34:56.423701+00:00,1,2258445a27afbdaf9979276fd7ac2f7192e8fd84645f379c82973d4717aefc1e
Letuama-Tanimuca,letuama-tanimuca,en,1,1,Insufficient eligible catalog inventory,41117,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:40.314996+00:00,1,9c87e9116981f055d1396670a3e41221d910256db7b0ff57a8b2953951b6d130
Lezgi,lezgi,lez,0,0,Missing published card translation,1127,80,80,15,65,65,65,65,0,15,True,2026-09-10T03:33:39.801479+00:00,1,6f0ad1014a77a015679ca709671907b888ee6d624ed64d4ff4ca3fbdd128b9b9
"Lhasa, Tibetan",lhasa-tibetan,bo,0,0,Missing published card translation,21795,101,101,17,84,84,84,84,0,17,True,2026-09-10T03:33:39.737551+00:00,1,accb193667b6b498137d39b18ce6af203f21ffa3f00d5b25f2313b2a95050aa1
"Limba, West-Central",limba-west-central,en,0,0,Insufficient eligible catalog inventory,13110,0,0,0,0,0,0,0,0,0,False,2026-09-10T03:34:40.489394+00:00,1,52bb3e194e6759586f99ec4058851eb7b9a0a01d5a24d19a2335243c7c2d3f23
Lingala,lingala,ln,0,0,Missing published card translation,4344,266,266,30,236,236,236,236,2,28,True,2026-09-10T03:33:41.710554+00:00,1,655e308611485911e2733bc92d34af8710903c6953712994b168a516a73c208b
Lithuanian,lithuanian,lt,0,0,Missing published card translation,7698,223,223,31,192,192,192,192,2,29,True,2026-09-10T03:33:42.016208+00:00,1,dac458bf4b179f39ec8b28a3e0c2b33f7bd12c848aadcbf579f1257e88e6d95a
Macedonian,macedonian,mk,0,0,Missing published card translation,20796,175,175,23,152,152,152,152,2,21,True,2026-09-10T03:33:42.520614+00:00,1,b421f7113ea763733c6e1d3d902f067ce7fa0defd8a85c1c4a1a02b604639dfe
Magindanaon,magindanaon,mdh,0,0,Missing published card translation,12635,132,132,16,116,116,116,116,0,16,True,2026-09-10T03:33:42.042428+00:00,1,303ba44187a8ce505c4bfc599ad4cc9e713c610eefd9223ba65ff82da7e299a0
Maithili,maithili,mai,0,0,Missing published card translation,6199,95,95,17,78,78,78,78,0,17,True,2026-09-10T03:33:42.942785+00:00,1,94fde3a123021aada9e5027e255a6c519e7513dfbcb03d11c9d9ca205c2372a0
"Maithili, Nepal",maithili-nepal,mai,0,0,Missing published card translation,184939,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:43.233639+00:00,1,dd7680e1f62a07c5bf17eaf423c5d3d80e415471287a456c95c8f0ca8c46ac88
Malagasy,malagasy,mg,0,0,Missing published card translation,7761,187,187,26,161,161,161,161,2,24,True,2026-09-10T03:33:43.714795+00:00,1,75da765b35251c8aadbf54aac73cad2075cebbca4037ba197b30e0a6cbae9ab7
"Malagasy, Antankarana",malagasy-antankarana,mg,0,0,Missing published card translation,7750,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:44.230586+00:00,1,c31aed6f6b1184b503c0c51bf704f73b0627b114e41d8475866a76212b72edbc
"Malagasy, Antesaka",malagasy-antesaka,mg,0,0,Missing published card translation,139117,78,78,15,63,63,63,63,0,15,True,2026-09-10T03:33:44.509631+00:00,1,f95240caef0b32e3d16e305a9413b6f38b07f5c3538dc4c4c927d1f316cfef5f
"Malagasy, Northern Betsimisaraka",malagasy-northern-betsimisaraka,mg,0,0,Missing published card translation,26664,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:33:45.589830+00:00,1,0716ec3c246c8b3151fa2cd9dcb14c35bf6e4536d14753c709ce68cf7a910eef
"Malagasy, Southern Betsimisaraka",malagasy-southern-betsimisaraka,mg,0,0,Missing published card translation,27226,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:46.460416+00:00,1,144324e82ffb9bbc634c39bf616813982e076975cf98275db0ee469dd1a969cf
"Malagasy, Tanosy",malagasy-tanosy,mg,0,0,Missing published card translation,26972,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:33:46.126161+00:00,1,265f95fa7823fdaaef8f68f9072eff953f28d6199ee5ebfdc07ff9ed4e8f56a1
Malay,malay,ms,0,0,Missing published card translation,1927,287,287,34,253,253,253,253,2,32,True,2026-09-10T03:33:48.037205+00:00,1,06b166ead73b8466d431cbd7b0815af263cdb8c837840b39a78ec7c455afe320
"Malay, Ambonese",malay-ambonese,ms,0,0,Missing published card translation,16891,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:33:47.064696+00:00,1,9ee190985185a7d2930bd34c6157262dbfcd7e3346594cc8489d94a93f341db6
"Malay, Papuan",malay-papuan,ms,0,0,Missing published card translation,100882,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:47.367309+00:00,1,fb3c70699e6d8b609ca93579527bd4d0eae517c0bfd283d0c83bfd2fd9be0485
"Malay, Pattani",malay-pattani,ms,0,0,Missing published card translation,14386,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:33:48.701409+00:00,1,89dd2509b2ff2fb3393f346d3eb1da31b9f647c1597218c91babd2608bf5990c
Malayalam,malayalam,ml,0,0,Missing published card translation,19985,327,327,38,289,289,289,289,0,38,True,2026-09-10T03:33:48.869078+00:00,1,6d1aafd9a628ad2ad85675f0d45e66aad24fd6768c7eb5eb8c9b5e9595d87baf
Maltese,maltese,mt,0,0,Missing published card translation,7885,175,175,23,152,152,152,152,2,21,True,2026-09-10T03:34:00.886063+00:00,1,56a82d2bf7bfaef11ce1588604a403ee0f3c82750358454fedc719f17b82b14b
"Mandarin, China",mandarin-china,zh,0,0,Missing published card translation,20615,631,631,63,568,568,568,568,2,61,True,2026-09-10T03:33:59.685568+00:00,2,5bc1e1f6a9dd4de8ba490249bc423ed3d79af24a785a02668af6f45be352a96c
Mandarin (Taiwan),mandarin-taiwan,zh-Hant,0,0,Missing published card translation,23221,171,171,23,148,148,148,148,0,23,True,2026-09-10T03:33:55.490142+00:00,1,8125d839e9f9a6e5e131db50f8b935fb73179583e8d79a691b42afd409f1096a
Manjaku,manjaku,mfv,0,0,Missing published card translation,23979,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:54.082824+00:00,1,96771a476651a0657cf3c6a2432ddbf069caf42a473d22032bc0b9537962d380
Mankanya,mankanya,knf,0,0,Missing published card translation,5042,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:58.730209+00:00,1,4f403906e2bb432d2e0ef5239952c542f5eecc136f3ca00e7d7b30e9ee5c3557
Maori,maori,mi,0,0,Missing published card translation,9198,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:59.003196+00:00,1,bb81e740929cd530356afff3bff81b2d7a0263561ee0c32150c4124ed6424c6a
Marathi,marathi,mr,0,0,Missing published card translation,6174,325,325,31,294,294,294,294,0,31,True,2026-09-10T03:34:01.727045+00:00,1,06eb2a3f80ec21665480a2ea186dcb649e99fe45f0298662051bb2a6af1e5b36
Marshallese,marshallese,mh,0,0,Missing published card translation,7889,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:34:00.985716+00:00,1,ef82d50c76ea3a2311b74a5ec3217d1a56c77cb101ce74bd2b3d3d30afafe472
Mazanderani,mazanderani,en,28,54,Six cards available; reserve below 30,6793,67,67,13,54,54,54,54,0,13,True,2026-09-10T03:34:56.902061+00:00,1,f0e8c02ff6171942927261837dc3b5408227a906ed47b1b2cbf0971516bf1f56
Mexican Sign Language,mexican-sign-language,en,1,1,Insufficient eligible catalog inventory,8230,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:40.880255+00:00,1,d715ff9b85f185c6df805ba515c32c03c9e6697fc403cfd82bab70bf32a9414a
Moksha,moksha,mdf,0,0,Missing published card translation,18487,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:01.014682+00:00,1,a82e9b2b4b9efa4240f3f04986f2659f124a6579cdfac1af174016bfd9f78a92
Nauruan,nauruan,na,0,0,Missing published card translation,8818,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:34:02.242552+00:00,1,ef509fcfe24a59d9472c6b02c7cf1f99004e5d60c9e01daba2848193a1d8cac5
"Ndebele, Northern",ndebele-northern,nd,0,0,Missing published card translation,20851,166,166,23,143,143,143,143,2,21,True,2026-09-10T03:34:03.482255+00:00,1,20aa807688c7a6944b9e18816285878b76002fc1411c324c4078c23873775e52
"Ndebele, Southern",ndebele-southern,nr,0,0,Missing published card translation,20852,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:03.155066+00:00,1,24f86ce7a5e63e33512b6f77f9444eae7c4198a6038c1907675afe092e40602b
Nepali,nepali,ne,0,0,Missing published card translation,1370,293,293,37,256,256,256,256,2,35,True,2026-09-10T03:34:03.990441+00:00,1,19ce3680fd3a4f8a61a928d5e4ee6690d6ed9f15d2bea278a795c335e91221dd
Nethakani,nethakani,te,0,0,Missing published card translation,139167,78,78,15,63,63,63,63,0,15,True,2026-09-10T03:34:03.717583+00:00,1,b3aa61872ebacb98ec5f87a9961c2cc3c68625034a11a85c55a43375b48b779e
New Zealand Sign Language,new-zealand-sign-language,en,1,1,Insufficient eligible catalog inventory,9194,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:40.922103+00:00,1,885353a3193c5ef665a2146ee1ffb4d216023c09ea5b6bd179bc038a95f7893f
Noon,noon,snf,0,0,Missing published card translation,142878,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:34:04.393775+00:00,1,42792ad779e802b2c400823f165b3cbf9c2512a84536e81920313959b02b3f2e
"Norwegian, Bokmal",norwegian-bokmal,no,0,0,Missing published card translation,10393,131,131,21,110,110,110,110,0,21,True,2026-09-10T03:34:05.169134+00:00,1,4fa8c4efe7331a2a72fe59c18c3c7aac4b0d23de7cc1689af8ef7e524e1ea6b0
Ogan,ogan,ms,0,0,Missing published card translation,17785,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:05.233736+00:00,1,d26e56e34da7dccb7e9aaa7369a3e2bd41ae726d8ddace8da2dc3fa3415df94a
Oniyan,oniyan,bsc,0,0,Missing published card translation,139945,79,79,15,64,64,64,64,0,15,True,2026-09-10T03:34:05.388013+00:00,1,72554d2035159cfedbb093f99a61bc8dbcaeaed4fe6d88cee2d94f119c0727d8
Osetin,osetin,os,0,0,Missing published card translation,5089,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:05.609531+00:00,1,f62b94aa5b9ee91c87ed90de6ebbc306ff0fde4080c8212dffad76c4f2d27bae
Palauan,palauan,pau,0,0,Missing published card translation,10589,107,107,21,86,86,86,86,2,19,True,2026-09-10T03:34:06.812406+00:00,1,677a6a5d314373fd41bb15ef46859961fd4b00ee6041e8c2e050e8b570172101
Pangasinan,pangasinan,pag,0,0,Missing published card translation,12606,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:07.102718+00:00,1,cc42a5b1a0b8bc9b26ebe8da505bc769d8bc2bc015799f7eb7acef2ab4e59de2
Papiamentu,papiamentu,pap,0,0,Missing published card translation,9131,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:34:07.621945+00:00,1,d35723b682db9176a0cb34e922c13e7eef9e369fc75ab3d3ec4f30b72a880069
Pasemah,pasemah,ms,0,0,Missing published card translation,17773,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:07.716547+00:00,1,06414b6bea78bce3b56bb617c8f3d57c8dab36b416d897b330d12af1e311a48c
Persian Sign Language,persian-sign-language,en,1,1,Insufficient eligible catalog inventory,144134,76,76,14,62,62,1,62,0,14,True,2026-09-10T03:34:44.234049+00:00,1,10d41658f82e454ab8b3a8662a9dcbb9a4a2419589d93abe4afc02c4b01a7e90
Polish,polish,pl,0,0,Missing published card translation,4451,391,391,41,350,350,350,350,2,39,True,2026-09-10T03:34:10.288855+00:00,1,7b9cab1e5aa94ae47f3c7bf7c8f90f4100d5f7088f02cf8ac587497a4ea32973
"Portuguese, Mozambique",portuguese-mozambique,pt,14,28,Six cards available; reserve below 30,139136,48,48,20,28,28,28,28,2,18,True,2026-09-10T03:35:03.235877+00:00,1,16a3aaa66181daf40b3552504f053e891105a5e7f46be65f72d06a27e62eefaf
Punjabi,punjabi,pa,0,0,Missing published card translation,46771,231,231,27,204,204,204,204,0,27,True,2026-09-10T03:34:09.414054+00:00,1,57e56a97cbd824fd5decd3580ea1118bf5964b5aa5140010079fb79ee18fcda3
"Quiche, Central",quiche-central,quc,0,0,Missing published card translation,5399,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:34:09.384093+00:00,1,efc40571fd8c2865f2618238aa0ef3356bb6c7a41ac25504b61fb59853a0f121
"Quiche, Joyabaj",quiche-joyabaj,quc,0,0,Missing published card translation,5398,151,151,19,132,132,132,132,0,19,True,2026-09-10T03:34:09.757596+00:00,1,7aedd1c02cf06d051a42d991a939b9df45cf69a8f5da04a4936252658d0208bc
"Quiche, West Central",quiche-west-central,quc,0,0,Missing published card translation,5425,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:11.018625+00:00,1,86fa774874a7bf7ff8c8e40a593010803e88147e5a3c8c007acdc8f43efe6938
Ralte,ralte,en,0,0,Insufficient eligible catalog inventory,101511,1,1,0,1,1,1,1,0,0,False,2026-09-10T03:34:41.417872+00:00,1,6cd5e558db577c5f63c3395c11d32caa159a4b3b533387991c2dc447728f604c
Romanian,romanian,ro,0,0,Missing published card translation,5546,385,385,48,337,337,337,337,2,46,True,2026-09-10T03:34:13.376348+00:00,1,d5e0fa76600fb7d1085c1538a909176dafaa1652d331bee86284ff3ab8f9257a
Romanian Sign Language,romanian-sign-language,en,1,1,Insufficient eligible catalog inventory,12961,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:42.664952+00:00,1,5abc00f7456a84334c198ff56453ce30db1f381c5af778ce385a94c13d1c92e7
Rufumbira,rufumbira,rw,0,0,Missing published card translation,106188,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:11.547755+00:00,1,83718f253a3d09da0320381b33036fb21e383100de999ac1346319de1ec63201
Russian Sign Language,russian-sign-language,en,1,1,Insufficient eligible catalog inventory,1944,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:42.670697+00:00,1,0694fc6c457b8d35bb26307c1d1dd56d7a9678e406418e390694d7f4d6e868a6
Saafi-Saafi,saafi-saafi,sav,0,0,Missing published card translation,143610,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:11.760186+00:00,1,af34533498015aecabbe8ec493d59ae695965caea03575bce80149cc2996629b
Salar,salar,en,0,1,Insufficient eligible catalog inventory,3924,6,6,5,1,1,1,1,0,5,False,2026-09-10T03:34:44.351396+00:00,1,a551e2603d3cecd40f884c31604f1468b01d6d024dba7cb0378207f546b5e4b1
Samarkand-Tajik,samarkand-tajik,tg,0,0,Missing published card translation,24156,148,148,18,130,130,130,130,0,18,True,2026-09-10T03:34:12.846023+00:00,1,fd5b526e37f4079ad273e8764e10a23b426f16f526b5d71978afbd660e19ddc0
Samoan,samoan,sm,0,0,Missing published card translation,530,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:34:12.981360+00:00,1,fea148682cd0a6b4a1e6c9a0167c8d04a79e5f5157dbddf77c07197fd05ee83d
Sango,sango,sg,0,0,Missing published card translation,3156,111,111,22,89,89,89,89,2,20,True,2026-09-10T03:34:13.220119+00:00,1,89d69a1747e7b5319f1e6a1e2abf221139b09445c43ff2ac4699b11b96987fbd
"Santali, India",santali-india,sat,0,0,Missing published card translation,24249,95,95,17,78,78,78,78,0,17,True,2026-09-10T03:34:14.751075+00:00,1,e003a7cac327753676463e6b9b48ace94b0186e9198e9cb0f3d719b4494e08b8
"Santhali, Nepal",santhali-nepal,sat,0,0,Missing published card translation,184924,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:14.979911+00:00,1,4a1777532c85da83c5a03f41c0913352d159e8303079c570d383e97aa13473f1
Serawai,serawai,ms,0,0,Missing published card translation,17760,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:14.927780+00:00,1,aaddeb6fa018888fd944a24988ec0e926d28a240d1fad19b49a785d33993111b
Serbian,serbian,sr,0,0,Missing published card translation,5541,298,298,35,263,263,263,263,2,33,True,2026-09-10T03:34:16.146344+00:00,1,5f183189039ecf1b8d5267800dc1427c04da199da24c24336e8adaa76a4f071a
Serere-Sine,serere-sine,srr,0,0,Missing published card translation,5058,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:16.036122+00:00,1,846321cb877a0635cec993b7ac9ab828798648d225c62883e00575a236d5d7c4
Shona,shona,sn,0,0,Missing published card translation,8506,184,184,26,158,158,158,158,2,24,True,2026-09-10T03:34:17.038028+00:00,1,821815aad59d6844287b35e91cdbe537886112dba139fc14ab0be092d1c91fe4
Sidamo,sidamo,en,1,1,Insufficient eligible catalog inventory,4644,13,13,12,1,1,1,1,0,12,False,2026-09-10T03:34:44.801750+00:00,1,cf38506b07626a4258232190684d554172a1773a4c35ae14efb71e82e8e621e1
Sindhi,sindhi,sd,0,0,Missing published card translation,389,163,163,24,139,139,139,139,2,22,True,2026-09-10T03:34:17.313922+00:00,1,0c88e1271b0b70aec6c3692ad813621f10b9b88895820c5928bc81243fd54973
Sinhala,sinhala,si,0,0,Missing published card translation,13172,205,205,28,177,177,177,177,2,26,True,2026-09-10T03:34:19.235746+00:00,1,c8f0cb98279b0c7b0af3c86a0a6a9340a62fbd637b713e9fd3d41fedd48f2599
Siswati,siswati,ss,0,0,Missing published card translation,20947,126,126,23,103,103,103,103,2,21,True,2026-09-10T03:34:17.877299+00:00,1,c42811e52789e0289d381ae99a9c3b678999eb0d84f25a3afc63c1b9501fdd82
Slovak,slovak,sk,0,0,Missing published card translation,5545,296,296,33,263,263,263,263,2,31,True,2026-09-10T03:34:19.352135+00:00,1,8b600e89d52a5605383d70a7fa500465c03a34eb96f34bd2bc2fbb46e240e971
Slovenian,slovenian,sl,0,0,Missing published card translation,1112,122,122,23,99,99,99,99,2,21,True,2026-09-10T03:34:19.076817+00:00,1,4c339b778531496e18187675ea263f60f8d833a6eca801824e2d1121f7f413a6
Somali,somali,so,0,0,Missing published card translation,4466,228,228,28,200,200,200,200,2,26,True,2026-09-10T03:34:20.010087+00:00,1,f190ebe42974ba04a6ce86154210b6fa6b58aecde4f0c61449199d048cd04075
"Sotho, Northern",sotho-northern,nso,0,0,Missing published card translation,13465,120,120,22,98,98,98,98,2,20,True,2026-09-10T03:34:20.452259+00:00,1,9865b9298386ec1445fb4ffba00acf6e58103bebd94358520e9453fde22e9d26
"Sotho, Southern",sotho-southern,st,0,0,Missing published card translation,7546,129,129,25,104,104,104,104,2,23,True,2026-09-10T03:34:21.373653+00:00,1,8698a20cce0bad6c3ef7b5aa81582bb974e56868addfb2e1b5dd734dd4fee167
"Swahili, Congo",swahili-congo,sw,0,0,Missing published card translation,23388,166,166,23,143,143,143,143,2,21,True,2026-09-10T03:34:21.859058+00:00,1,00946f4102af7360e1e156ccf59b476590529d3df3bbadce3c1c1d8db69e82df
"Swahili, Kenya",swahili-kenya,sw,0,0,Missing published card translation,23179,84,84,17,67,67,67,67,0,17,True,2026-09-10T03:34:22.652039+00:00,1,88447657349d77f0df919ea0a0d2724a2252a4b203e4e058edd8f961ebec256f
"Swahili, Tanzania",swahili-tanzania,sw,0,0,Missing published card translation,23178,318,318,34,284,284,284,284,0,34,True,2026-09-10T03:34:23.329604+00:00,1,7704e856417e2326d81591fe5c4a1866284f5bbb8b3463ee9a01221602f7e611
Swedish,swedish,sv,0,0,Missing published card translation,4823,275,275,31,244,244,244,244,2,29,True,2026-09-10T03:34:23.065667+00:00,1,3dda0cf76483d150c6be80aa93c9b9be2d872aae491dc4a820e528b3aecb8994
Tahitian,tahitian,ty,0,0,Missing published card translation,4950,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:34:23.069635+00:00,1,742b713e61f71ee02f805bbcde871b2ef53252b8eceee35df1985487759a48b4
Tajik,tajik,tg,0,0,Missing published card translation,24309,208,208,29,179,179,179,179,2,27,True,2026-09-10T03:34:24.617131+00:00,1,fa4c258ecf64c1158bc2c2638444f919c8d40e709e850bc601652794efcbdeb6
"Tamazight, Central Atlas",tamazight-central-atlas,tzm,0,0,Missing published card translation,512,236,236,22,214,214,214,214,2,20,True,2026-09-10T03:34:25.033848+00:00,1,30a8d45195054f88676cbcdde32529925a6bc664a2df12c38bc1f5ebbd4d3b09
Tamil,tamil,ta,0,0,Missing published card translation,5871,354,354,41,313,313,313,313,2,39,True,2026-09-10T03:34:26.465253+00:00,1,31257160583e4f3ca3790405f089040eaf5402eb7ef2c822661e62806f6a2753
Tarifit (Abs),tarifit-arabic-based-script,en,1,1,Insufficient eligible catalog inventory,184497,7,7,6,1,1,1,1,0,6,False,2026-09-10T03:34:43.547130+00:00,1,d9ec5469bf53e3e06e3e4e14aaf7be05596a3b7263e2aabb50c17b6850e22b9e
Tarifit (Lbs),tarifit-latin-based-script,en,1,1,Insufficient eligible catalog inventory,184498,7,7,6,1,1,1,1,0,6,False,2026-09-10T03:34:44.437223+00:00,1,0e040ff2e99eec04123f040ab5f9aea2f5187e210e2786c08c567b2fd51d22a5
Tatar,tatar,tt,0,0,Missing published card translation,411,165,165,20,145,145,145,145,0,20,True,2026-09-10T03:34:25.328417+00:00,1,a909048d43d6bbffafa73153a68af815c679c367ab4269eb8c971c1faa90df15
Tausug,tausug,tsg,0,0,Missing published card translation,12535,132,132,16,116,116,116,116,0,16,True,2026-09-10T03:34:26.245461+00:00,1,3bf19b0b2a7f1037367e59700950884119ca47a845d3aaa5d41982441cd796a1
Telugu,telugu,te,0,0,Missing published card translation,5848,273,273,39,234,234,234,234,2,37,True,2026-09-10T03:34:27.389830+00:00,1,a87d0fa4eda9687682567f4c8a85f9998979d6acae569ced4b940c8f60f70101
Tetun Belu,tetun-belu,tet,0,0,Missing published card translation,53297,105,105,21,84,84,84,84,2,19,True,2026-09-10T03:34:26.809703+00:00,1,276f167bbd56b701ce43bf1b7ceabb6d8de39c9a8afd1d8944ecbc1fd51ee8c8
Tlicho,tlicho,dgr,0,0,Missing published card translation,139104,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:27.522868+00:00,1,4090a2aaeb4cdb2afb62b0d9699ce6dc7a2a80d7150e7118a6329b83377626b8
Tok Pisin,tok-pisin,tpi,0,0,Missing published card translation,23528,122,122,22,100,100,100,100,2,20,True,2026-09-10T03:34:27.983935+00:00,1,c3ef29dc26cb55e4ea3ee6c19774eeaf577e2a23daedfc4630b5a16bdad20d19
"Tonga, Zambezi",tonga-zambezi,en,1,2,Insufficient eligible catalog inventory,20984,7,7,5,2,2,2,2,0,5,False,2026-09-10T03:34:45.297940+00:00,1,47c585fde424619de0fb7f5f4db96f7390e1f7ced1a108a24f905dc0a6e0fb1d
Tongan,tongan,to,0,0,Missing published card translation,14509,121,121,22,99,99,99,99,2,20,True,2026-09-10T03:34:28.360341+00:00,1,0cd11abaf179e0e6fcd98fbc6fc5d577f40632e27b702e83bf623b9537bcfb15
Tshiluba,tshiluba,lua,0,0,Missing published card translation,20790,138,138,17,121,121,121,121,0,17,True,2026-09-10T03:34:29.494441+00:00,1,e816a0f893f481270d4bb4f2aea9fbd259cdcc40d6d3cc09705440d863a7ae86
Tsonga,tsonga,ts,0,0,Missing published card translation,8494,107,107,21,86,86,86,86,2,19,True,2026-09-10T03:34:29.691730+00:00,1,b34d945de05a9c2cb5343622e3475ba9513bdce0aae6b9b9510c79637f924ff7
Tswana,tswana,tn,0,0,Missing published card translation,1479,126,126,23,103,103,103,103,2,21,True,2026-09-10T03:34:29.941234+00:00,1,6f0ba16868ec3179a329993a2d7548d6265cc95c5d3e60efe5a8c2b9d203a1ca
Turkmen,turkmen,tk,0,0,Missing published card translation,420,202,202,26,176,176,176,176,2,24,True,2026-09-10T03:34:30.491693+00:00,1,170167488b4ff12c7a162d16a8bfab30a784209a208ceb5725211b7cec9c4327
Tuvin,tuvin,tyv,0,0,Missing published card translation,3892,151,151,19,132,132,132,132,0,19,True,2026-09-10T03:34:31.259778+00:00,1,bd099d5025e7db19ed4c22825d569e2b7d59d677cd656da5d9312c39fa549a2a
