audioLanguageSlug,coreLanguageId,sourcePublishedLeafVideos,sourcePublishedHlsLeafVideos,sourcePublishedHlsVideosAllLabels,curatedStartUnique,curatedUnionUnique,curatedStartWorkFamilies,curatedStartStoryGroups,curatedStartMedianDubAtMost15m,curatedStartFeatureFilms,startMeets6,startMeets30,unionMeets30,adminValidatedUnique,identityStatus,pool_meaning-and-purpose,pool_hope-and-perseverance,pool_love-and-belonging,pool_forgiveness-and-new-beginnings,pool_exploring-jesus
ekpari,10241,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ellomwe,184513,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
embera-catio,4246,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
embera-northern,98137,130,130,130,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
embu,7164,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ende,19669,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
enga,12200,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
enggano,140421,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
english,529,1022,1022,1025,202,207,79,195,192,6,True,True,True,0,core_only,81,74,77,50,99
english-african,185221,14,14,14,13,13,1,13,12,1,True,False,False,0,core_only,3,7,6,2,10
english-british,185021,14,14,14,13,13,1,13,12,1,True,False,False,0,core_only,3,7,6,2,10
english-north-american-indigenous,23156,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
enlhet-2,141755,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
enrekang,154090,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
enuani,148878,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
enwan,140424,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
enxet,181477,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
erei,108591,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
erzya,18483,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ese,144299,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ese-ejja,140434,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
eshira-2,143382,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
estonian,4601,156,156,158,70,72,14,68,67,3,True,True,True,0,core_only,24,30,29,16,43
etsako-iyekhe,10124,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
etulo,142293,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ewage-notu,144182,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ewe,5331,121,121,121,60,61,3,59,54,2,True,True,True,0,core_only,23,27,22,13,39
ewondo,2713,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
ezaa,9692,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fa-dambu,27147,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fakai,10157,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fali-north,184844,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fali-south,184843,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fanakalo,20662,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fanamaket,139741,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fang-equatorial-guinea,24018,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fang-gabon,24019,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fante,5288,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
faroese,4455,76,76,76,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
farsi-western,6788,432,432,434,149,152,46,144,143,6,True,True,True,0,core_only,56,54,58,39,82
fataleka,140614,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fernando-po-creole-english,26270,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fiji-hindi,53300,78,78,78,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
fijian,20665,98,98,100,48,49,12,47,46,2,True,True,True,0,core_only,19,19,20,13,27
finallig,160575,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
finnish,4820,130,130,132,63,64,18,62,61,2,True,True,True,0,core_only,21,27,32,18,24
flemish,21578,131,131,131,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
folopa,144064,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fon-gbe,1304,143,143,145,72,74,13,71,66,2,True,True,True,0,core_only,24,30,30,19,44
foochow,23033,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fordata,16956,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fore,140640,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
french,496,703,703,705,173,176,56,168,163,6,True,True,True,0,core_only,65,65,66,43,90
french-african,53424,35,35,35,30,30,11,30,25,1,True,True,True,0,core_only,5,12,9,10,24
fulacunda,5050,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fulfulde-adamawa,24014,121,121,121,60,61,3,59,54,2,True,True,True,0,core_only,23,27,22,13,39
fulfulde-bagirmi,3667,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fulfulde-benin-togo,1299,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fulfulde-caka-nigeria,24038,130,130,130,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
fulfulde-jelgoore,2116,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fulfulde-maasina,5183,84,84,86,47,48,11,47,46,1,True,True,True,0,core_only,19,19,20,13,26
fulfulde-pulaar,5048,158,158,158,58,59,4,57,56,2,True,True,True,0,core_only,24,26,20,10,39
fulfulde-western-niger,23920,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fur,53418,185,185,185,68,69,4,66,61,3,True,True,True,0,core_only,24,30,25,15,45
furu,140551,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
fuuta-jalon,5459,70,70,70,40,40,2,40,39,1,True,True,True,0,core_only,19,18,13,9,25
fwe,140555,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ga,27152,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gaanda,98407,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gadaba-mudhili,140569,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gaddang,140558,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gaddi,6535,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gadsup,19685,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gaelic-irish,6884,76,76,76,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
gaelic-scots,14818,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gagauz,1935,77,77,77,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
gagu,98306,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gaita-koitor,184451,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
galela,16954,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
galician,19705,98,98,100,48,49,12,47,46,2,True,True,True,0,core_only,19,19,20,13,27
galo,24409,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gamai,10365,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gamit,6533,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gamo,4635,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
gangam,117883,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gao,140672,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
garasia-adiwasi,24340,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
garasia-rajput,24341,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
garhwali,6532,76,76,76,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
garifuna,1277,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
garo,1204,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gata,140566,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gaviao-do-jiparana,1569,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gavva,184801,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gawri,98458,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gayil,98476,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gayo,17807,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbagyi,10085,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
gbanu,19689,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbari,10076,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbaya-kresh-south-sudan,99152,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
gbaya-northwest,2745,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbaya-southwest,2518,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbe-saxwe,100227,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbe-tofin,142348,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbe-weme,142827,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gbeya,22651,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
gbii,7658,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ge,22819,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gedeo,4704,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gela,143904,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gen-gbe,1342,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
georgian,5112,175,175,177,78,80,18,74,75,3,True,True,True,0,core_only,27,33,31,19,49
gepo,142505,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
german-pennsylvania,2993,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
german-standard,1106,437,437,439,158,161,49,153,152,6,True,True,True,0,core_only,58,58,62,39,87
ghari,140790,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ghomala,2908,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ghotuo,139226,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
giangan,12840,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gibaio,149219,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gichuka,140297,115,115,115,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
gikyode,5166,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gilaki,6707,61,61,61,34,34,1,34,33,1,True,True,True,0,core_only,17,16,12,7,20
gilaki-rashti,185210,131,131,131,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
giryama,20117,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gisir,185234,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gitonga,20983,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
giziga-south,2754,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
glavda,140740,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
goan-konkani,184479,132,132,132,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
godie,184596,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gofa,4634,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gogo,14206,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
goji,121129,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gojri,43229,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gokana,10143,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gola,7617,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
golin,19725,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gondi-aheri,147829,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gondi-northern,6511,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gonja,5187,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
gorontalo,19716,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gourmanchema,1296,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gowlan,140770,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gowli,140771,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
grebo-northern,23926,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
greek,483,169,169,171,81,84,22,78,78,3,True,True,True,0,core_only,27,33,35,20,43
guahibo,19720,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guajajara,1582,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guambiano,4230,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guarani-bolivian-eastern,20631,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guarani-mbya,623,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guarani-paraguayan,12327,98,98,100,48,49,12,47,46,2,True,True,True,0,core_only,19,19,20,13,27
guarani-western-bolivian,184828,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guaymi,10597,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guere-central,16048,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guina-ang-kalinga,149408,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gujarati,6600,297,297,297,117,118,13,113,113,4,True,True,True,0,core_only,45,50,47,27,64
guji,4699,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gun-gbe,1297,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gungu,14710,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gurage-sodo,4684,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gurage-west,4676,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
gurenne,2062,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
gurgula,140675,115,115,115,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
guro,16064,121,121,121,60,61,3,59,54,2,True,True,True,0,core_only,23,27,22,13,39
gurung,6485,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gusii,7326,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gutob-gadaba,184548,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
guyanese-creole,20693,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gwere,14692,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
gyaazi,139090,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hadiyya,4667,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hadothi,20696,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hadza,140867,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hainanese,13192,86,86,88,47,48,11,47,46,1,True,True,True,0,core_only,19,19,20,13,26
haitian-creole,4473,134,134,134,59,60,5,57,56,3,True,True,True,0,core_only,25,26,21,10,39
hajong,1193,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hakhun,139179,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hakka,20611,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
halang,140932,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
halbi,19739,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
halia,12065,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hamer-banna,4792,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hamgyongdo,7350,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hanga,5319,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hani-haya,184506,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
haniq-beeqhongq,3976,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hano,141734,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hanunoo,140994,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
harari,140937,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
haryanvi,5709,70,70,70,40,40,2,40,39,1,True,True,True,0,core_only,19,18,13,9,25
hatam,140927,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hausa,1341,294,294,296,110,112,23,107,102,4,True,True,True,0,core_only,43,45,48,29,56
havu,15559,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hawaii-pidgin,140893,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hawaiian-nihau,184517,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
haya,14201,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hazaragi,450,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hdi,143340,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hebrew,6930,235,235,237,90,91,19,89,87,3,True,True,True,0,core_only,39,37,40,25,40
hehe,14192,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
heiban,140943,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
heiyi-zhuang-minz,185329,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hema,15256,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hemba,15557,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
herero,1454,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
higgi,22645,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hiligaynon,19738,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hindi,6464,428,428,431,152,155,39,146,146,6,True,True,True,0,core_only,57,56,61,38,83
hindi-caribbean,5511,63,63,63,36,36,2,36,35,1,True,True,True,0,core_only,18,16,12,8,22
hindko-northern,10450,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hindko-southern,10455,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hiri-motu,21120,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hixkaryana,1566,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hlai-has,184504,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hmar,6465,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hmong-daw,4012,64,64,64,37,37,3,37,35,2,True,True,True,0,core_only,19,17,13,7,22
hmong-shuad,22826,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ho,1189,70,70,70,40,40,2,40,39,1,True,True,True,0,core_only,19,18,13,9,25
hona,119277,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
horned-miao,23017,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hote,12057,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hrangkhol,140853,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hre,19747,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
huasteco-san-luis-potosi,8265,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
huasteco-veracruz,8272,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
huave-san-mateo-del-mar,8266,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
huba,9597,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hui,21211,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
huichol,8277,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
huitoto-murui,140882,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
huli,12053,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hunde,15551,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hungana,15548,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
hungarian,1107,258,258,260,104,106,20,102,101,3,True,True,True,0,core_only,42,43,45,27,52
hunsrik,98682,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
hyam,98630,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ibaas-icen,184842,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ibaloi,12747,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
iban,1924,76,76,76,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
ibanag,12750,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ibibio,9811,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
icelandic,5563,91,91,93,53,55,13,51,50,3,True,True,True,0,core_only,11,23,25,14,35
ichen,177626,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
icheve,145530,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
idaasha,184549,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
idioma-wanca,184547,115,115,115,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
idoma,9793,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ife,1338,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ifugao-amganad,12743,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ifugao-mayoyao,141009,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
igala,9779,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
igbo,9774,196,196,198,84,85,18,83,78,2,True,True,True,0,core_only,36,34,39,26,35
igede,9784,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
igiha,19733,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ika,9728,69,69,69,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
ikhin,185251,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ikizu,14188,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ikoma,154395,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ikota,141371,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ikpeshi,141025,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ikwo,9691,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ila,19759,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ilchamus,184500,132,132,132,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
ile-ape,141031,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ilocano,12723,98,98,100,48,49,12,47,46,2,True,True,True,0,core_only,19,19,20,13,27
imbongu,12040,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
indonesian-isa,184566,210,210,210,66,67,12,64,64,2,True,True,True,0,core_only,25,30,21,13,46
indonesian-yesus,16639,333,333,335,123,124,31,120,118,5,True,True,True,0,core_only,50,44,49,31,65
ingush,18555,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
inner-mongolian,22293,65,65,65,36,36,2,36,35,1,True,True,True,0,core_only,18,16,12,8,22
innu,127397,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
inonhan,12657,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
inor,26184,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
inuktitut-eastern-canadian,3076,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ipili,98663,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ipunu,4310,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
iranun,98588,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
iranun-eastern,185198,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
iranun-western,185197,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
